"filename", "language", "YAML", "Markdown", "C++", "Swift", "JSON", "Dart", "XML", "HTML", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\model\payment_model\payment_model.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 9, 42
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\model\payment_model\payment_model.g.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 5, 23
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\model\user_model\driver_model.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 2, 10, 47
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\model\user_model\driver_model.g.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 7, 43
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\model\vehicle_model.dart", "Dart", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 21, 87
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\model\vehicle_model.g.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 4, 9, 63
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\network\http_client.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 4, 6, 50
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\network\storage_service.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 6, 31
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\authentication\change_password.dart", "Dart", 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 67, 22, 264
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\authentication\driver_login.dart", "Dart", 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 89, 29, 448
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\authentication\driver_signup.dart", "Dart", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 4, 90
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\authentication\login.dart", "Dart", 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 89, 28, 408
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\authentication\login_choice.dart", "Dart", 0, 0, 0, 0, 0, 477, 0, 0, 0, 0, 100, 48, 625
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\authentication\otp_verification.dart", "Dart", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 108, 9, 213
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\authentication\signup.dart", "Dart", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 6, 92
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\authentication\signup_choice.dart", "Dart", 0, 0, 0, 0, 0, 472, 0, 0, 0, 0, 99, 49, 620
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\bookings\accept_booking_page.dart", "Dart", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 2, 4, 72
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\bookings\create_bookingpage.dart", "Dart", 0, 0, 0, 0, 0, 585, 0, 0, 0, 0, 628, 54, 1267
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\bookings\driver_details_adapter.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 4, 35
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\bookings\driver_detial_page.dart", "Dart", 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 15, 14, 201
"c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\lib\pages\bookings\driver_upcoming_booking.dart", "Dart", 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 49, 58, 385
