Date : 2025-04-27 13:37:05
Directory : c:\Users\gsam9\Desktop\projects\GoTrip\frontend
Total : 154 files,  16668 codes, 7105 comments, 1971 blanks, all 25744 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| gotrip\windows\flutter                                                                                                |          2 |         23 |          9 |         11 |         43 |
| gotrip\windows\runner                                                                                                 |          8 |        428 |         85 |        132 |        645 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                              | language        | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\README.md                                                      | Markdown        |         10 |          0 |          7 |         17 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\analysis_options.yaml                                          | YAML            |          3 |         22 |          4 |         29 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\build.gradle                                       | Gradle          |         32 |          6 |          7 |         45 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\src\debug\AndroidManifest.xml                      | XML             |          3 |          4 |          1 |          8 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\src\main\AndroidManifest.xml                       | XML             |         42 |         11 |          5 |         58 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\src\main\res\drawable-v21\launch_background.xml    | XML             |          4 |          7 |          2 |         13 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\src\main\res\drawable\launch_background.xml        | XML             |          4 |          7 |          2 |         13 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\src\main\res\values-night\styles.xml               | XML             |          9 |          9 |          1 |         19 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\src\main\res\values\styles.xml                     | XML             |          9 |          9 |          1 |         19 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\app\src\profile\AndroidManifest.xml                    | XML             |          3 |          4 |          1 |          8 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\build.gradle                                           | Gradle          |         16 |          0 |          3 |         19 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\gradle.properties                                      | Java Properties |          3 |          0 |          1 |          4 |
| c:\Users\gsam9\Desktop\projects\GoTrip\frontend\gotrip\android\gradle\wrapper\gradle-wrapper.properties               | Java Properties |          5 |          0 |          1 |          6 |
